source,destination,pixels,fraction
20,20,61015.0,0.009926244981971212
20,21,114199.0,0.01857850119964157
20,56,3935.0,0.0006401667459486474
20,94,34539.0,0.005618988370602372
20,99,23372.0,0.0038022813688212928
20,105,10451.0,0.0017002243105233327
20,subducted,20743.0,0.0033745816546919423
21,20,72405.0,0.011779230810778097
21,21,256691.0,0.04175985824251696
21,56,6379.0,0.0010377696753256472
21,94,149949.0,0.0243945014963796
21,99,39070.0,0.006356115569050484
21,106,19.0,3.0910211367279034e-06
21,105,15035.0,0.002445973831089686
21,subducted,43595.0,0.007092266655560682
56,20,5818.0,0.0009465032091306812
56,21,2209.0,0.0003593718784753652
56,56,4467.0,0.0007267153377770287
56,94,156.0,2.5378910385765946e-05
56,99,536.0,8.719933312032401e-05
56,105,2135.0,0.00034733316457442496
56,subducted,1450.0,0.00023589371832923476
94,20,4451.0,0.0007241123726092579
94,21,20042.0,0.0032605392432789814
94,56,1173.0,0.00019082988386220163
94,94,51247.0,0.008337134747047099
94,99,11309.0,0.0018398083176450453
94,105,96.0,1.5617791006625197e-05
94,subducted,6913.0,0.0011246436378
98,99,302.0,4.91309675416751e-05
98,105,15386.0,0.002503076379457659
98,subducted,5058.0,0.0008228623636615651
99,20,32318.0,0.005257664268251179
99,21,81925.0,0.013327995085601764
99,56,2612.0,0.00042493406363859393
99,94,21561.0,0.003507658248894228
99,98,2.0,3.253706459713583e-07
99,99,2515766.0,0.40927820426639006
99,106,1526.0,0.00024825780287614636
99,105,22429.0,0.003648869109245797
99,subducted,797612.0,0.12975976583725352
106,99,10229.0,0.001664108168820512
106,105,8456.0,0.0013756670911669027
106,subducted,16270.0,0.0026468902049769996
105,20,22356.0,0.003636993080667843
105,21,71401.0,0.011615894746500476
105,56,920.0,0.00014967049714682481
105,94,389.0,6.328459064142918e-05
105,98,517.0,8.410831198359612e-05
105,99,10834.0,0.0017625327892268478
105,106,218.0,3.546540041087805e-05
105,105,336521.0,0.05474702757646373
105,subducted,157019.0,0.02554468672988835
new_crust,20,12694.0,0.002065127489980211
new_crust,21,50098.0,0.008150209310936553
new_crust,56,1039.0,0.00016903005058212063
new_crust,94,12017.0,0.0019549895263189063
new_crust,98,113.0,1.838344149738174e-05
new_crust,99,825870.0,0.13435692769418284
new_crust,106,377.0,6.133236676560103e-05
new_crust,105,149602.0,0.02433804968930357
