age, initial_volume, initial_area, z_full_volume, area_full_volume, dSL, subsidence
0, 1.3380334489744983e+18, 352133629670690.5, -3, 351835119079959.2, -2.0663636363636364, -0.9336363636363637
6, 1.322268331168971e+18, 351488222981554.06, 41, 355512017782939.06, 28.240303030303032, 12.759696969696972
11, 1.3085401456701855e+18, 350829620244870.25, 80, 358582198208910.1, 55.1030303030303, 24.8969696969697
15, 1.3082567412807178e+18, 347520711322359.9, 81, 355465531706351.7, 55.79181818181818, 25.208181818181817
20, 1.3068646473336837e+18, 348359260161962.8, 85, 357304580878184.7, 58.5469696969697, 26.453030303030307
33, 1.283672559842978e+18, 345476123712970.44, 150, 361525416662266.06, 103.31818181818181, 46.68181818181818
40, 1.263838437945461e+18, 345164217134577.4, 205, 368091250077554.56, 141.20151515151514, 63.79848484848485
48, 1.243365135442474e+18, 342229896016310.25, 260, 420623215812893.3, 179.0848484848485, 80.91515151515152
56, 1.244506221662132e+18, 345730947388715.3, 254, 425263425986833.3, 174.9521212121212, 79.04787878787879
68, 1.22678449153548e+18, 343546501669334.8, 296, 431882743382711.7, 203.88121212121212, 92.11878787878788
84, 1.2047392713927672e+18, 342196905897441.75, 349, 435049194973744.44, 240.3869696969697, 108.6130303030303
94, 1.2126797747716244e+18, 344726248314083.75, 328, 433740287015122.5, 225.92242424242426, 102.07757575757577
100, 1.2307659780820045e+18, 343284580119530.4, 286, 428026198486984.25, 196.99333333333334, 89.00666666666667
113, 1.2003172980855311e+18, 342027556620583.44, 360, 433440476813647.9, 247.96363636363637, 112.03636363636365
120, 1.2183923721921966e+18, 340612980311525.1, 319, 424418379093513.9, 219.72333333333333, 99.27666666666667
133, 1.2197855240064527e+18, 337776429909177.3, 320, 418709688948463.25, 220.4121212121212, 99.5878787878788
140, 1.2821961354856287e+18, 337392244979445.1, 158, 354836220196420.75, 108.82848484848485, 49.17151515151515
154, 1.296738382614838e+18, 341111930866896.9, 115, 353375257780832.2, 79.21060606060605, 35.78939393939394
165, 1.3251576947276744e+18, 338565393600420.3, 34, 342285179457929.25, 23.418787878787878, 10.581212121212122
180, 1.3113386789071585e+18, 339923786737345.0, 74, 347517012430244.3, 50.97030303030303, 23.02969696969697
200, 1.2406040734734676e+18, 337286676599065.9, 267, 418106369653398.44, 183.90636363636364, 83.09363636363636
210, 1.2343397243658941e+18, 340550998876075.2, 281, 418380887430407.2, 193.54939393939395, 87.45060606060608
220, 1.2434914794982638e+18, 343219299672193.6, 258, 414023192638050.1, 177.70727272727274, 80.29272727272728
230, 1.243793903528204e+18, 344972674505025.75, 257, 412555032378344.8, 177.01848484848486, 79.98151515151517
240, 1.2901221419213176e+18, 349145624631719.2, 131, 362906702942284.4, 90.23121212121212, 40.76878787878788
250, 1.3024177336980078e+18, 348448233512850.56, 97, 358638981201386.8, 66.81242424242424, 30.18757575757576
270, 1.2799823278896653e+18, 342296775984561.8, 163, 355142028601326.0, 112.27242424242424, 50.72757575757576
290, 1.3311759775766625e+18, 349049253496600.3, 16, 350460530793771.8, 11.020606060606061, 4.97939393939394
300, 1.3340118263097216e+18, 343597986248781.1, 8, 344223798806710.8, 5.510303030303031, 2.48969696969697
315, 1.335181056885179e+18, 351104437932050.56, 5, 351503918280530.94, 3.443939393939394, 1.5560606060606061
331, 1.349824313161305e+18, 354468930206351.5, -37, 352071548265183.44, -25.485151515151514, -11.514848484848486
350, 1.325763205418747e+18, 357572800541591.25, 31, 361206112299641.9, 21.35242424242424, 9.647575757575758
370, 1.2845484055479035e+18, 354926493158051.8, 145, 367963688284596.4, 99.87424242424242, 45.12575757575758
383, 1.287969408178906e+18, 356561103562957.3, 135, 367814732899402.25, 92.98636363636363, 42.013636363636365
393, 1.2869306404613082e+18, 356045058127808.25, 138, 368761649280985.3, 95.05272727272727, 42.947272727272725
408, 1.3119698406643779e+18, 358284287438521.9, 69, 364047661204848.5, 47.526363636363634, 21.473636363636363
420, 1.321807616731214e+18, 357486026531961.4, 42, 361197614844781.8, 28.92909090909091, 13.070909090909092
444, 1.2970846084913147e+18, 362649879865395.94, 108, 373202719101028.25, 74.38909090909091, 33.6109090909091
463, 1.2524905758588303e+18, 354127932341319.8, 231, 384427956941234.9, 159.11, 71.89000000000001
475, 1.259473048930394e+18, 356616786884805.06, 211, 381037372482010.7, 145.33424242424243, 65.66575757575758
489, 1.266634086239814e+18, 357748547902108.9, 192, 374882515971777.9, 132.24727272727273, 59.75272727272728
500, 1.258079171749175e+18, 356147827346586.5, 216, 374807138548666.2, 148.77818181818182, 67.2218181818182
518, 1.2385804469432753e+18, 353349565476137.6, 269, 411896529611718.1, 185.2839393939394, 83.71606060606061
535, 1.2866130614499348e+18, 351415844660157.75, 141, 360547709503072.4, 97.11909090909091, 43.8809090909091
545, 1.2061541586071475e+18, 348082643013753.3, 349, 422815359226676.44, 240.3869696969697, 108.6130303030303
