age_ma,co2_ppm
0,345.812
6,360.9
11,369.388
15,371.738
20,373.249
33,444.054
40,517.271
48,652.348
56,908.706
68,1555.824
84,2107.297
94,2153.215
100,1947.002
113,1431.378
120,1327.088
133,1246.706
140,1322.294
154,1311.928
165,1322.795
180,978.643
200,824.589
210,2134.382
220,3751.536
230,3146.516
240,2712.278
250,2244.58
270,2292.003
290,1976.363
300,1410.177
315,892.258
331,593.444
350,610.623
370,868.51
383,1215.078
393,2104.463
408,2785.133
420,2595.105
444,3130.436
463,4899.218
475,4976.364
489,4895.984
500,4786.87
518,4893.525
535,5216.711
545,5352.647
