Age,Land_area,Coastline_length,Continents_Number,Polar_Land_Area,Temperate_Land_Area,Subtropical_Land_Area,Tropical_Land_Area,Northern_Land_Area,Southern_Land_Area,Continental_Shelves_Area,High_Altitude_Area,Ocean_Area,Ocean_Volume,BQART_TSS_low,ROBART_TSS_low,BQART_TSS_high,ROBART_TSS_high,Sea_Level_dSL,BQART_TSS_est,ROBART_TSS_est,CO2_ppm
0.0,158193714972089.66,468078200.102712,4,34021409295335.83,36825969223083.42,36278833111136.375,51497774459987.0,105375735963523.69,52817979008565.984,18425380898382.83,15731887701929.436,351871900996932.5,1.3369841e+18,10764.940851497968,8944.346947085514,43059.76340599187,35777.38778834206,-2.0663636363636364,21529.881702995932,17888.69389417103,345.812
6.0,155229003015959.22,495146855.2768966,4,33463276477320.043,35430187312795.695,36110183628064.08,50664324110032.21,102757720158723.86,52471282857235.38,20813765486456.47,17702297489336.05,354836612953062.9,1.33664e+18,10407.592236517688,8549.728655099942,41630.368946070754,34198.914620399766,28.240303030303032,20815.184473035377,17099.457310199883,360.9
11.0,152970779439717.3,498067150.4934802,5,32407292784556.164,35149871278098.176,36756390064684.9,49139480858519.62,101651251588098.95,51319527851618.35,22532250734833.93,15394888645950.354,357094836529304.8,1.3366555e+18,9140.411525469795,7285.132654409721,36561.64610187919,29140.530617638884,55.1030303030303,18280.823050939594,14570.265308819442,369.388
15.0,156210409047566.06,401665906.250072,3,33052899400845.96,35450281293884.92,38294329393424.79,49904351750627.59,104289661284153.52,51920747763412.54,22340908049237.973,16797068639768.982,353855206921456.06,1.3364617e+18,10558.300759187678,8512.47475428272,42233.20303675071,34049.89901713088,55.79181818181818,21116.601518375355,17024.94950856544,371.738
20.0,154818326029319.66,540490352.9121499,4,34055499084148.9,36173664613097.22,38645824107403.56,46417096316122.01,103774515589860.95,51043810439458.66,23195352110778.527,17279924006241.531,355247289939702.5,1.3365423e+18,9506.453370765295,6797.605079459965,38025.81348306118,27190.42031783986,58.5469696969697,19012.90674153059,13595.21015891993,373.249
33.0,152344567014130.56,509376528.4823134,4,34996917093687.613,38148073202710.64,36160168655649.23,43514365794197.18,101670245898581.31,50674321115549.234,24704300123519.035,16896538844663.432,357721048954891.6,1.3360067e+18,9392.045100410018,7856.188697893139,37568.18040164007,31424.754791572555,103.3181818181818,18784.09020082004,15712.377395786278,444.054
40.0,148632678865657.3,413622874.5697272,5,33637424313426.703,38694809434437.016,31868854067408.93,44863061808499.695,98352939557865.28,50279739307792.06,25280327581410.305,15197347816933.842,361432937103364.8,1.3356826e+18,8498.879503293425,6912.2099208865,33995.5180131737,27648.839683546,141.20151515151514,16997.75900658685,13824.419841773,517.271
48.0,146346163763802.22,494617729.5134573,6,32271633419690.062,39199658213047.03,31281629963338.586,44018014932145.15,95948059910688.52,50398103853113.695,26486566267095.145,14058688888544.123,363719452205219.9,1.334285e+18,10056.084139002824,8586.198659104073,40224.3365560113,34344.79463641629,179.0848484848485,20112.16827800565,17172.397318208146,652.348
56.0,140238893123393.42,429811004.7900447,5,28775380680219.164,39614234031838.266,31426686513390.69,40865459242349.73,84953853093334.78,55285040030058.65,29821367367466.01,13796167523666.916,369826722845628.7,1.3344441e+18,7916.599715041319,6436.826835985018,31666.39886016528,25747.307343940072,174.9521212121212,15833.19943008264,12873.653671970036,908.706
68.0,135971671318449.16,448170743.09125865,4,26873450380604.203,38453981571531.76,30632224484952.32,40446484741131.01,79707824478218.11,56263846840231.055,32914840754655.777,12590128778092.416,374093944650572.94,1.3315849e+18,8935.946826352352,6827.327686075052,35743.78730540941,27309.310744300208,203.8812121212121,17871.893652704704,13654.655372150104,1555.824
84.0,122434026357452.64,651037368.8189468,5,24224243918591.254,36931537601343.26,25844058722515.625,35802775708415.41,69070110877601.66,53363915479850.99,43167969553032.086,13632216633187.623,387631589611569.5,1.3285596e+18,,,,,240.3869696969697,,,2107.297
94.0,129162011070413.84,590006865.6746055,4,27348208172607.96,38560649620398.47,28101982388592.023,35537655122103.766,74079010521854.38,55083000548559.47,35601935867578.27,12721289490475.85,380903604898608.3,1.3297911e+18,8644.365391515546,6898.997815965733,34577.461566062186,27595.99126386293,225.92242424242423,17288.730783031093,13797.995631931466,2153.215
100.0,135611979059946.42,578129745.1517025,4,31634724198200.09,42003218440242.92,26146068259185.1,36190159672200.31,76580561212380.78,59031417847565.64,34524358642897.605,12327707383270.38,374453636909075.7,1.332109e+18,9557.419581348977,7088.646318919077,38229.67832539591,28354.58527567631,196.9933333333333,19114.839162697957,14177.292637838154,1947.002
113.0,94771512331389.28,692873969.1106457,4,21062191073554.664,27483367687198.203,17864149008656.766,28620627034815.54,54562256531177.375,40209255800211.89,69742109588456.414,14698997091909.896,415294103637632.9,1.3286229e+18,8293.413926842299,6256.568177607536,33173.655707369195,25026.272710430145,247.9636363636364,16586.827853684597,12513.136355215072,1431.378
120.0,135358854880255.23,583047460.803935,4,25157164473440.49,44217155282044.39,27446278796730.023,38915343376142.695,77463996589920.73,57894858290334.5,33973323698798.914,13038694415641.553,374706761088766.9,1.3309705e+18,7695.281181508948,5327.607972496735,30781.124726035792,21310.43188998694,219.72333333333333,15390.562363017896,10655.21594499347,1327.088
133.0,143445632583091.12,608778554.7313697,3,26511758720998.06,46677918190061.32,30277730669318.43,40386902588249.52,77321139381082.38,66124493202008.766,29008710788986.645,12541043481003.8,366619983385931.0,1.330888e+18,7731.035568498342,5544.766776252283,30924.14227399337,22179.067105009133,220.4121212121212,15462.071136996685,11089.533552504568,1246.706
140.0,159986877851679.3,525651637.8985207,2,27810569677770.6,52464184983318.29,40895750169066.336,39371906618105.45,82654541824417.88,77332336027261.44,23417085693146.25,15646213364648.488,350078738117342.8,1.3361535e+18,,,,,108.82848484848483,,,1322.294
154.0,159596894666459.97,444089121.10074943,3,23267530490611.48,55059907465815.13,42080595262944.734,39734398038152.96,83894270478584.77,75702624187875.22,24816066645199.43,14382891777461.406,350468721302562.1,1.336249e+18,9313.522240967504,6349.646897933063,37254.08896387001,25398.58759173225,79.21060606060605,18627.044481935005,12699.293795866126,1311.928
165.0,168327179614427.12,390722784.6329792,1,24859853529364.02,55104194200255.57,44212856569672.06,44676217775386.41,91933462435159.6,76393717179267.5,20024701840997.29,15744783839046.404,341738436354595.0,1.3366663e+18,11421.160199491524,8746.55830142066,45684.6407979661,34986.23320568264,23.41878787878788,22842.32039898305,17493.11660284132,1322.795
180.0,164209413041962.47,390890351.1436232,1,25362902846980.973,50901553050951.33,41782684498537.24,46681017261771.6,92341340260254.44,71868072781708.02,23749486126587.5,18896239858234.94,345856202927059.7,1.3365916e+18,10497.757808930604,7600.542182428923,41991.03123572241,30402.168729715693,50.97030303030303,20995.515617861205,15201.084364857848,978.643
200.0,145695358704643.56,438859089.3285359,2,22922033979942.93,40381904085491.0,36923939877150.32,45938839572187.3,77791198580493.12,67904160124150.445,31453178578010.82,18595030082006.83,364370257264378.56,1.3335395e+18,8489.197931398683,5895.589812196744,33956.79172559473,23582.359248786976,183.90636363636364,16978.395862797366,11791.179624393488,824.589
210.0,142902195363185.38,307927437.5022952,1,21105578077498.57,41547754868887.04,35282331601198.82,45466281121397.29,70093904212600.7,72808291150584.69,29834863324914.004,18275525785682.55,367163420605836.8,1.3329773e+18,11149.67389653819,8533.558956271158,44598.69558615276,34134.23582508463,193.54939393939395,22299.34779307638,17067.117912542315,2134.382
220.0,143147821788738.8,484774540.1853055,3,21763481010574.32,41384103888573.26,34435585233906.38,46027213100957.84,67159483183186.88,75988338605551.94,29249338711781.555,18205546747063.34,366917794180283.3,1.3344619e+18,16136.3730053931,13747.374706464783,64545.492021572405,54989.49882585913,177.70727272727274,32272.746010786203,27494.749412929566,3751.536
230.0,143492018688690.16,468538394.95740384,4,22044596805713.203,42118084033633.59,32627026965820.48,47145378168037.65,66817985474725.14,76674033213965.02,27206850514597.16,18913634647834.57,366573597280332.0,1.3345693e+18,15518.268122159712,13332.998018045742,62073.07248863885,53331.99207218297,177.01848484848486,31036.536244319424,26665.996036091485,3146.516
240.0,150918594147181.4,284279196.08474374,2,23538449340123.0,44500770328562.53,33975223129847.15,49377209649714.59,66914656518074.82,84003937629106.6,23807768668751.785,17113173954217.47,359147021821840.7,1.336246e+18,13851.091511440882,11946.809628142604,55404.36604576353,47787.23851257042,90.23121212121212,27702.183022881763,23893.61925628521,2712.278
250.0,153456433967734.66,246094814.80860183,0,23723194002077.71,44198160971562.03,35202455527117.75,50847169340938.69,67843178390496.56,85613255577238.08,23659513076934.227,18525350953553.13,356609182001287.5,1.3364168e+18,13255.65276300674,10846.849589898724,53022.611052026965,43387.398359594896,66.81242424242424,26511.30552601348,21693.699179797448,2244.58
270.0,157502821920807.72,435010627.6849841,1,28565243624251.19,40007916109098.91,38431488309118.445,51007521309431.84,63043016221439.44,94459805699368.28,20156362403656.57,19626021260978.133,352562794048214.44,1.3363122e+18,16345.03692376366,14671.112710067357,65380.14769505464,58684.45084026942,112.27242424242424,32690.07384752732,29342.22542013471,2292.003
290.0,159834823397765.28,471221692.4383701,1,30870553096478.312,38674315573127.1,37833967289365.56,52931744931349.78,56964536956919.69,102870286440845.6,17124670510562.057,21410886625988.668,350230792571256.8,1.3367343e+18,16075.727505662642,13359.611710564524,64302.91002265057,53438.4468422581,11.02060606060606,32151.455011325284,26719.22342112905,1976.363
300.0,165935895894753.53,347204066.4301446,2,32449780058003.54,39663419298982.05,38356610737795.89,55943742723575.75,56949541448644.14,108986354446109.4,16206845434043.531,22010906897120.81,344129720074268.56,1.3367494e+18,14510.271101074242,10915.064515960652,58041.08440429697,43660.25806384261,5.510303030303031,29020.542202148485,21830.129031921304,1410.177
