series,series_label,age_Ma,model,TSS_low,TSS_est,TSS_high,Q_discharge
D,Series D — Palaeogeography + Ice + Climate,0,bqart,10764.940851497968,21529.881702995935,43059.76340599187,37011.50193440275
D,Series D — Palaeogeography + Ice + Climate,0,robart,8944.346947085514,17888.69389417103,35777.38778834206,
D,Series D — Palaeogeography + Ice + Climate,6,bqart,10407.592236517688,20815.184473035377,41630.368946070754,34692.742413215616
D,Series D — Palaeogeography + Ice + Climate,6,robart,8549.728655099942,17099.457310199883,34198.914620399766,
D,Series D — Palaeogeography + Ice + Climate,11,bqart,9140.411525469797,18280.823050939594,36561.64610187919,31660.516045004515
D,Series D — Palaeogeography + Ice + Climate,11,robart,7285.132654409721,14570.265308819442,29140.530617638884,
D,Series D — Palaeogeography + Ice + Climate,15,bqart,10558.300759187678,21116.601518375355,42233.20303675071,36432.75493568787
D,Series D — Palaeogeography + Ice + Climate,15,robart,8512.47475428272,17024.94950856544,34049.89901713088,
D,Series D — Palaeogeography + Ice + Climate,20,bqart,9506.453370765295,19012.90674153059,38025.81348306118,34483.38486135264
D,Series D — Palaeogeography + Ice + Climate,20,robart,6797.605079459965,13595.21015891993,27190.42031783986,
D,Series D — Palaeogeography + Ice + Climate,33,bqart,9392.045100410018,18784.090200820036,37568.18040164007,36087.46262808967
D,Series D — Palaeogeography + Ice + Climate,33,robart,7856.188697893139,15712.377395786278,31424.754791572555,
D,Series D — Palaeogeography + Ice + Climate,40,bqart,8498.879503293425,16997.75900658685,33995.5180131737,35772.105815353585
D,Series D — Palaeogeography + Ice + Climate,40,robart,6912.2099208865,13824.419841773,27648.839683546,
D,Series D — Palaeogeography + Ice + Climate,48,bqart,10056.084139002825,20112.16827800565,40224.3365560113,40507.85451563427
D,Series D — Palaeogeography + Ice + Climate,48,robart,8586.198659104073,17172.397318208146,34344.79463641629,
D,Series D — Palaeogeography + Ice + Climate,56,bqart,7916.5997150413195,15833.199430082639,31666.398860165278,37629.76383550573
D,Series D — Palaeogeography + Ice + Climate,56,robart,6436.826835985018,12873.653671970036,25747.307343940072,
D,Series D — Palaeogeography + Ice + Climate,68,bqart,8935.946826352352,17871.893652704704,35743.78730540941,39956.11190211333
D,Series D — Palaeogeography + Ice + Climate,68,robart,6827.327686075052,13654.655372150104,27309.310744300208,
D,Series D — Palaeogeography + Ice + Climate,94,bqart,8644.365391515546,17288.730783031093,34577.461566062186,37033.433253556395
