source_code,status_code,n_pixels,age_from,age_to
20.0,1,1,6.0,0.0
20.0,3,9460,6.0,0.0
21.0,1,9,6.0,0.0
21.0,2,36,6.0,0.0
21.0,3,20048,6.0,0.0
56.0,3,340,6.0,0.0
94.0,2,464,6.0,0.0
94.0,3,6656,6.0,0.0
98.0,3,6108,6.0,0.0
99.0,1,82,6.0,0.0
99.0,2,500,6.0,0.0
99.0,3,273185,6.0,0.0
105.0,2,1104,6.0,0.0
105.0,3,48764,6.0,0.0
106.0,2,844,6.0,0.0
106.0,3,21299,6.0,0.0
20.0,1,3,11.0,6.0
20.0,3,7267,11.0,6.0
21.0,2,20,11.0,6.0
21.0,3,12203,11.0,6.0
56.0,3,453,11.0,6.0
94.0,2,483,11.0,6.0
94.0,3,6712,11.0,6.0
98.0,2,1,11.0,6.0
98.0,3,4614,11.0,6.0
99.0,1,25,11.0,6.0
99.0,3,186867,11.0,6.0
105.0,2,843,11.0,6.0
105.0,3,30244,11.0,6.0
106.0,1,3,11.0,6.0
106.0,2,1375,11.0,6.0
106.0,3,15855,11.0,6.0
20.0,2,9,15.0,11.0
20.0,3,4770,15.0,11.0
21.0,1,8,15.0,11.0
21.0,2,145,15.0,11.0
21.0,3,15499,15.0,11.0
56.0,3,61,15.0,11.0
94.0,2,151,15.0,11.0
94.0,3,1291,15.0,11.0
98.0,1,1,15.0,11.0
98.0,3,1723,15.0,11.0
99.0,1,125,15.0,11.0
99.0,3,162719,15.0,11.0
105.0,2,78,15.0,11.0
105.0,3,12277,15.0,11.0
106.0,3,3948,15.0,11.0
20.0,3,6152,20.0,15.0
21.0,3,19966,20.0,15.0
56.0,3,132,20.0,15.0
94.0,3,2710,20.0,15.0
98.0,3,2659,20.0,15.0
99.0,1,4,20.0,15.0
99.0,2,403,20.0,15.0
99.0,3,259196,20.0,15.0
105.0,2,546,20.0,15.0
105.0,3,19302,20.0,15.0
106.0,2,380,20.0,15.0
106.0,3,6131,20.0,15.0
20.0,3,7833,33.0,20.0
21.0,3,37256,33.0,20.0
56.0,3,68,33.0,20.0
94.0,3,2408,33.0,20.0
98.0,2,25,33.0,20.0
98.0,3,1768,33.0,20.0
99.0,1,67,33.0,20.0
99.0,2,138,33.0,20.0
99.0,3,531474,33.0,20.0
105.0,1,2,33.0,20.0
105.0,3,14358,33.0,20.0
106.0,2,520,33.0,20.0
106.0,3,4535,33.0,20.0
20.0,1,1,40.0,33.0
20.0,3,4448,40.0,33.0
21.0,1,2,40.0,33.0
21.0,2,11,40.0,33.0
21.0,3,13804,40.0,33.0
56.0,3,369,40.0,33.0
94.0,2,49,40.0,33.0
94.0,3,2580,40.0,33.0
98.0,3,1812,40.0,33.0
99.0,1,67,40.0,33.0
99.0,2,1089,40.0,33.0
99.0,3,323427,40.0,33.0
105.0,2,516,40.0,33.0
105.0,3,17904,40.0,33.0
106.0,3,7416,40.0,33.0
20.0,2,20,48.0,40.0
20.0,3,4367,48.0,40.0
21.0,2,24,48.0,40.0
21.0,3,20065,48.0,40.0
56.0,2,1,48.0,40.0
56.0,3,366,48.0,40.0
94.0,1,1,48.0,40.0
94.0,2,156,48.0,40.0
94.0,3,2902,48.0,40.0
98.0,3,3566,48.0,40.0
99.0,1,62,48.0,40.0
99.0,2,1485,48.0,40.0
