source_code,dest_code,n_pixels,n_baseline,delta_alt_median_transition,delta_alt_median_baseline,delta_alt_cliffs_delta,delta_alt_pvalue,delta_lat_signed_median_transition,delta_lat_signed_median_baseline,delta_lat_signed_cliffs_delta,delta_lat_signed_pvalue,delta_lat_poleward_median_transition,delta_lat_poleward_median_baseline,delta_lat_poleward_cliffs_delta,delta_lat_poleward_pvalue,distance_km_median_transition,distance_km_median_baseline,distance_km_cliffs_delta,distance_km_pvalue,age_from,age_to
20.0,21.0,79614,187758,30.30664,30.30664,0.05555885228118318,0.0,1.6814976,1.9567299,0.12787624951390253,0.0,0.13159567,-2.7478967,0.30164431445080675,0.0,380.19995,388.94025,-0.13537452150318763,0.0,6.0,0.0
20.0,56.0,2644,187758,30.08091,30.30664,0.0027242272575447313,0.8095114,3.2310133,1.9567299,-0.1688947536178116,0.0,-3.40451,-2.7478967,-0.3576048917959689,0.0,448.79236,388.94025,0.3689374494825226,0.0,6.0,0.0
20.0,94.0,1951,187758,87.94278,30.30664,0.10703028313887519,3.6350665e-16,-3.938878,1.9567299,-0.9922599856433187,0.0,-3.5560787,-2.7478967,-0.2921736765215335,0.0,439.78122,388.94025,0.4008948501486933,0.0,6.0,0.0
20.0,98.0,5,187758,36.73323,30.30664,0.3449791753214244,0.18130238,4.630655,1.9567299,1.0,0.000107540276,4.630655,-2.7478967,1.0,0.000107540276,523.6499,388.94025,0.9509240618242631,0.00023064077,6.0,0.0
20.0,99.0,10646,187758,-2089.6455,30.30664,-0.9050992347148521,0.0,-3.173838,1.9567299,-0.5752982332030332,0.0,-1.9493096,-2.7478967,-0.0008367300546480161,0.8843475,401.84082,388.94025,-0.10572701308606469,0.0,6.0,0.0
20.0,105.0,11569,187758,30.30664,30.30664,0.05977793514835095,2.943318e-27,2.8630104,1.9567299,0.2540772545952481,0.0,2.9074318,-2.7478967,0.6904438914072848,0.0,514.047,388.94025,0.8222346322874712,0.0,6.0,0.0
21.0,20.0,69602,381025,30.085793,30.306656,-0.08359562658621067,0.0,2.7194114,2.8425026,-0.10746734121258783,0.0,-2.5312958,0.24367227,-0.08849242177030003,0.0,408.21375,404.6848,0.16387102684621824,0.0,6.0,0.0
21.0,56.0,758,381025,21.823456,30.306656,-0.11098566064076221,1.2307794e-07,3.917502,2.8425026,0.49886227591559296,0.0,3.917502,0.24367227,0.754485888033926,0.0,568.49915,404.6848,0.8395044785287014,0.0,6.0,0.0
21.0,94.0,53175,381025,30.30664,30.306656,-0.024981648670119316,8.8068046e-21,4.1076827,2.8425026,0.5216730564473806,0.0,4.045473,0.24367227,0.6632757960203539,0.0,477.30124,404.6848,0.5216498819299031,0.0,6.0,0.0
21.0,98.0,1689,381025,31.860306,30.306656,0.1419273252102038,6.5345644e-24,4.562334,2.8425026,0.8238309700987672,0.0,4.562334,0.24367227,0.870785508954629,0.0,523.80316,404.6848,0.9551924712753053,0.0,6.0,0.0
21.0,99.0,27715,381025,-1200.286,30.306656,-0.9267693252612725,0.0,-0.14872211,2.8425026,-0.33561668336650397,0.0,1.2644572,0.24367227,0.16183183052947747,0.0,441.74258,404.6848,0.2961329925808167,0.0,6.0,0.0
21.0,105.0,17798,381025,30.306656,30.306656,0.07163660892194668,0.0,2.6846523,2.8425026,0.03436306508740827,8.418114e-15,2.7122498,0.24367227,0.4970353457867205,0.0,453.88654,404.6848,0.42717698685654004,0.0,6.0,0.0
