source_code,dest_code,n_steps,total_n_pixels,delta_alt_pooled_median_transition,delta_alt_pooled_cliffs_delta,delta_lat_signed_pooled_median_transition,delta_lat_signed_pooled_cliffs_delta,delta_lat_poleward_pooled_median_transition,delta_lat_poleward_pooled_cliffs_delta,distance_km_pooled_median_transition,distance_km_pooled_cliffs_delta
21.0,20.0,31,2676826,2.4358067511097814,0.01884178729629387,1.9697271448076228,0.0008922013377112364,0.09467667861890003,0.052078065075478394,549.2802019088758,0.11535781156757256
20.0,21.0,31,2568149,-1.0614023174554508,-0.02766544489757691,1.8449364936698536,0.03549889784975387,0.5512816486739611,0.023923417602725296,548.3656338285547,0.09664501383751131
99.0,94.0,43,2236453,2446.8756679246508,0.819824699816003,-0.9082190149733269,-0.03127372206035106,-0.7876718970362829,0.020432138764512484,997.4982595178001,-0.06302856752613335
94.0,99.0,43,1980387,-1203.0182324594246,-0.8567870445640022,0.6748509771285185,0.026402484342091893,-0.7691378995945407,-0.05327130417128457,936.7698900560383,0.1709189831101017
94.0,21.0,32,1850521,-3.182326644463417,0.024181090139987153,1.6612954347562892,0.11022708236758703,0.6794417260365371,0.05642319301501156,541.3086093400342,0.11682680227687027
99.0,21.0,32,1837632,1476.6792938985661,0.7696602620313749,0.8943919710441149,0.027564019120003877,0.4859952365543164,0.06395595679038048,637.9634902166796,-0.21353757161503728
21.0,99.0,31,1679607,-915.072748299804,-0.797553555270695,1.6866728183570618,0.061378952988462555,0.6223697018407988,0.09164896108330021,521.4488102246481,0.17198588795085076
21.0,94.0,31,1459920,-6.836005757225919,-0.029911688922988764,2.084042921096801,-0.011757187451428572,0.19678297970974515,0.0653536475891999,468.7769771583871,0.014540301563425688
99.0,106.0,40,1351682,-158.3523489884472,0.09523108854830745,1.0894145298077886,0.12531671045655735,4.454842249492756,0.32637701000814845,959.717796051085,-0.07303501373600338
106.0,99.0,36,1314626,-92.35721692399645,0.012719303425543943,-1.1318829550824554,-0.1745893583843465,-4.360465590262542,-0.29809829312298414,917.7060500806579,0.22525348443942558
99.0,105.0,43,977117,1514.9790983560424,0.7693465210275393,-1.8328685503541289,-0.1341005791170157,3.451097305721408,0.21519994359521535,810.5961751214966,-0.10389813623656567
94.0,105.0,43,877625,27.795422815318258,-0.034087559496062,-6.17538803447051,-0.37330765664647364,7.20976114353722,0.466397579768391,1115.64313608251,0.052438312706328004
105.0,99.0,43,805596,-676.1165314597292,-0.7741650023935644,-0.4015843706428867,0.012735520482929719,-0.014896950891002922,-0.11201264962277711,645.4931688627162,-0.01572162724130334
99.0,20.0,32,770661,1451.710490321092,0.7508620636838399,1.8072675914614378,0.06941458030558052,-0.06491602340998322,0.019209396720889123,655.463087498347,-0.19776485351981243
20.0,99.0,31,733834,-853.0424238583232,-0.7813695738430185,1.676467443966488,0.009640260947085264,0.9958173867890716,0.16769526146548455,518.5064782736252,0.05324065582383532
105.0,21.0,32,660090,-9.343596271320774,0.03794915761830945,5.75342141790735,0.24525011393682877,-7.448443748534767,-0.424257223004631,1062.746400779009,-0.1544320341832471
20.0,105.0,31,599115,5.788837671186388,0.03924898657706379,-1.345414035857745,-0.05892561599186998,5.479831531399053,0.5271668536176033,810.7948410028449,0.33776506961380104
105.0,20.0,32,594338,-15.507538739120875,0.01585082429031926,2.527373564643654,0.12980302849011868,-4.325020411776659,-0.36640038676497705,802.5472524658021,-0.07267894981831079
105.0,98.0,40,542092,-17.997378675708052,-0.03734406739870331,-0.49468120654479025,0.08999983284290773,1.8287626118162288,0.05669898315858583,759.2260581959124,0.14465580689204668
105.0,94.0,43,526975,-1.9517966946872827,0.004288518391655968,5.948892172750299,0.36074961677387524,-5.858544854378332,-0.3988882431656718,1162.541612016287,0.13932930414941444
21.0,105.0,31,526763,22.454659932384278,0.0824191723455669,-4.804405753736335,-0.2909602081230858,7.256029482846805,0.4400604044374167,1117.733867331847,0.3591651884279978
98.0,105.0,35,498068,5.291122905818407,-0.026302329718157838,-0.13014946321058146,-0.04369927504118428,1.2213138261927687,0.08681767887880386,804.3738262096217,-0.09548224870939233
94.0,20.0,32,402440,19.051439996169012,0.03175170961390669,1.982329338314818,-0.08022044992669893,0.6451070344212375,0.21493994104413056,774.5923599955221,0.3408723024500898
56.0,20.0,31,311803,-9.716462834264625,0.032243242473825755,1.2087467602114776,0.12800104468259974,-1.4667588505562914,-0.16640537524650068,607.7799096367232,0.16767375786452546
20.0,56.0,31,306907,-4.752623731594285,0.004729445022053538,1.9294121458420468,0.06303860880516345,1.6505321622762752,0.20084293764024985,555.9340268125851,0.14712828165524708
20.0,94.0,31,203351,-29.297830735302693,-0.07460770533790134,-1.0212768976911786,-0.06065127091536201,3.0046991150631555,0.1911709428463396,928.0888501330544,0.1444915995989545
